model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Last Value,Y1,3.98,3.87,1782.5,0,Macro
Mean Value,Y1,14.66,13.64,6206.67,0,Macro
Random Walk,Y1,3.21,3.3,1389.02,0,Macro
Arima,Y1,9.64,9.12,4178.79,0,Macro
Theta,Y1,40,33.3,15127.1,0,Macro
Prophet,Y1,1.98,2.01,780.88,0,Macro
Last Value,Y2,24.27,28.91,2017,0,Macro
Mean Value,Y2,13.2,14,1019.77,0,Macro
Random Walk,Y2,30.35,37.42,2650.98,0,Macro
Arima,Y2,27.87,33.63,2377.65,0,Macro
Theta,Y2,53.9,76.63,5533,0,Macro
Prophet,Y2,27.8,24.1,1909.54,0,Macro
Last Value,Y3,5.09,4.93,2650,0,Macro
Mean Value,Y3,44.7,36.52,19355.16,0,Macro
Random Walk,Y3,10.47,9.78,5257.98,0,Macro
Arima,Y3,2.36,2.39,830,0,Macro
Theta,Y3,86.01,60.07,31750,0,Macro
Prophet,Y3,1.63,1.65,521.56,0,Macro
Last Value,Y4,3.3,3.23,1960,0,Macro
Mean Value,Y4,40.49,33.65,20125.81,0,Macro
Random Walk,Y4,3.47,3.38,2027.12,0,Macro
Arima,Y4,4.37,4.48,1617.9,0,Macro
Theta,Y4,77.86,55.94,33350,0,Macro
Prophet,Y4,3.68,3.76,1262.53,0,Macro
Last Value,Y5,12.81,11.78,5770,0,Macro
Mean Value,Y5,63.78,48.25,22734.52,0,Macro
Random Walk,Y5,15.19,13.73,6539.05,0,Macro
Arima,Y5,2.94,2.9,1136.76,0,Macro
Theta,Y5,113.24,72.29,33880,0,Macro
Prophet,Y5,4.54,4.42,1478.62,0,Macro
Last Value,Y6,7.4,7.1,1863.16,0,Macro
Mean Value,Y6,44.3,36.1,9165.47,0,Macro
Random Walk,Y6,6.83,7.08,1051.41,0,Macro
Arima,Y6,36.03,44.35,11159.97,0,Macro
Theta,Y6,58.45,45.22,11367.08,0,Macro
Prophet,Y6,9.67,9.15,1818.29,0,Macro
Last Value,Y7,10.29,10.94,2138.63,0,Macro
Mean Value,Y7,27.73,24.3,4854.92,0,Macro
Random Walk,Y7,18.1,20.01,3958.2,0,Macro
Arima,Y7,55.87,78.84,15795.15,0,Macro
Theta,Y7,33.56,28.73,5711.62,0,Macro
Prophet,Y7,4.94,4.81,766.15,0,Macro
Last Value,Y8,1.98,2,282.3,0,Macro
Mean Value,Y8,0.84,0.83,117.63,0,Macro
Random Walk,Y8,1.52,1.54,217.03,0,Macro
Arima,Y8,2.88,2.92,413.02,0,Macro
Theta,Y8,7.56,7.28,1028.94,0,Macro
Prophet,Y8,1.52,1.54,217.04,0,Macro
Last Value,Y9,2.81,2.85,380.83,0,Macro
Mean Value,Y9,7.85,7.55,1008.93,0,Macro
Random Walk,Y9,1.73,1.75,233.58,0,Macro
Arima,Y9,12.8,13.78,1838.93,0,Macro
Theta,Y9,13.03,12.22,1633.85,0,Macro
Prophet,Y9,4.87,5.02,669.08,0,Macro
Last Value,Y10,7.75,8.07,1042.44,0,Macro
Mean Value,Y10,3.27,3.21,417.04,0,Macro
Random Walk,Y10,7.27,7.55,975.22,0,Macro
Arima,Y10,24.93,28.7,3706.94,0,Macro
Theta,Y10,4.56,4.42,574.96,0,Macro
Prophet,Y10,3.83,3.92,506.01,0,Macro
Last Value,Y11,1.89,1.91,166.36,0,Macro
Mean Value,Y11,7.56,7.28,635.92,0,Macro
Random Walk,Y11,1.84,1.86,161.89,0,Macro
Arima,Y11,10.72,11.34,991.36,0,Macro
Theta,Y11,11.6,10.96,957.1,0,Macro
Prophet,Y11,3.97,4.06,355.4,0,Macro
Last Value,Y12,2.26,2.23,270.97,0,Macro
Mean Value,Y12,22.9,20.53,2466.44,0,Macro
Random Walk,Y12,1.8,1.8,167.39,0,Macro
Arima,Y12,13.45,14.53,1755.38,0,Macro
Theta,Y12,32.45,27.91,3344.49,0,Macro
Prophet,Y12,3.79,3.88,325.14,0,Macro
Last Value,Y13,9.69,9.18,2871.8,0,Macro
Mean Value,Y13,31.48,27.16,8407.78,0,Macro
Random Walk,Y13,7.47,7.15,2203.27,0,Macro
Arima,Y13,20.43,18.46,5734.42,0,Macro
Theta,Y13,54.7,42.93,13241.3,0,Macro
Prophet,Y13,6.47,6.74,1478.23,0,Macro
Last Value,Y14,5.23,5.04,1651.5,0,Macro
Mean Value,Y14,24.46,21.73,6965.78,0,Macro
Random Walk,Y14,16.51,14.67,4805.69,0,Macro
Arima,Y14,11.13,10.39,3381.5,0,Macro
Theta,Y14,47.36,38.28,12187,0,Macro
Prophet,Y14,6.72,6.99,1719.14,0,Macro
Last Value,Y15,9.12,8.54,3150.2,0,Macro
Mean Value,Y15,36.16,30.51,10877.03,0,Macro
Random Walk,Y15,6.19,5.91,1634.22,0,Macro
Arima,Y15,9.19,8.61,3174,0,Macro
