model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Last Value,Y1,3.98,3.87,1782.5,0
Mean Value,Y1,14.66,13.64,6206.67,0
Random Walk,Y1,3.21,3.3,1389.02,0
Arima,Y1,9.64,9.12,4178.79,0
Theta,Y1,40.0,33.3,15127.1,0
Prophet,Y1,1.98,2.01,780.88,0
Last Value,Y2,24.27,28.91,2017.0,0
Mean Value,Y2,13.2,14.0,1019.77,0
Random Walk,Y2,30.35,37.42,2650.98,0
Arima,Y2,27.87,33.63,2377.65,0
Theta,Y2,53.9,76.63,5533.0,0
Prophet,Y2,27.8,24.1,1909.54,0
Last Value,Y3,5.09,4.93,2650.0,0
Mean Value,Y3,44.7,36.52,19355.16,0
Random Walk,Y3,10.47,9.78,5257.98,0
Arima,Y3,2.36,2.39,830.0,0
Theta,Y3,86.01,60.07,31750.0,0
Prophet,Y3,1.63,1.65,521.56,0
Last Value,Y4,3.3,3.23,1960.0,0
Mean Value,Y4,40.49,33.65,20125.81,0
Random Walk,Y4,3.47,3.38,2027.12,0
Arima,Y4,4.37,4.48,1617.9,0
Theta,Y4,77.86,55.94,33350.0,0
Prophet,Y4,3.68,3.76,1262.53,0
Last Value,Y5,12.81,11.78,5770.0,0
Mean Value,Y5,63.78,48.25,22734.52,0
Random Walk,Y5,15.19,13.73,6539.05,0
Arima,Y5,2.94,2.9,1136.76,0
Theta,Y5,113.24,72.29,33880.0,0
Prophet,Y5,4.54,4.42,1478.62,0
Last Value,Y6,7.4,7.1,1863.16,0
Mean Value,Y6,44.3,36.1,9165.47,0
Random Walk,Y6,6.83,7.08,1051.41,0
Arima,Y6,36.03,44.35,11159.97,0
Theta,Y6,58.45,45.22,11367.08,0
Prophet,Y6,9.67,9.15,1818.29,0
Last Value,Y7,10.29,10.94,2138.63,0
Mean Value,Y7,27.73,24.3,4854.92,0
Random Walk,Y7,18.1,20.01,3958.2,0
Arima,Y7,55.87,78.84,15795.15,0
Theta,Y7,33.56,28.73,5711.62,0
Prophet,Y7,4.94,4.81,766.15,0
Last Value,Y8,1.98,2.0,282.3,0
Mean Value,Y8,0.84,0.83,117.63,0
Random Walk,Y8,1.52,1.54,217.03,0
Arima,Y8,2.88,2.92,413.02,0
Theta,Y8,7.56,7.28,1028.94,0
Prophet,Y8,1.52,1.54,217.04,0
Last Value,Y9,2.81,2.85,380.83,0
Mean Value,Y9,7.85,7.55,1008.93,0
Random Walk,Y9,1.73,1.75,233.58,0
Arima,Y9,12.8,13.78,1838.93,0
Theta,Y9,13.03,12.22,1633.85,0
Prophet,Y9,4.87,5.02,669.08,0
Last Value,Y10,7.75,8.07,1042.44,0
Mean Value,Y10,3.27,3.21,417.04,0
Random Walk,Y10,7.27,7.55,975.22,0
Arima,Y10,24.93,28.7,3706.94,0
Theta,Y10,4.56,4.42,574.96,0
Prophet,Y10,3.83,3.92,506.01,0
Last Value,Y11,1.89,1.91,166.36,0
Mean Value,Y11,7.56,7.28,635.92,0
Random Walk,Y11,1.84,1.86,161.89,0
Arima,Y11,10.72,11.34,991.36,0
Theta,Y11,11.6,10.96,957.1,0
Prophet,Y11,3.97,4.06,355.4,0
Last Value,Y12,2.26,2.23,270.97,0
Mean Value,Y12,22.9,20.53,2466.44,0
Random Walk,Y12,1.8,1.8,167.39,0
Arima,Y12,13.45,14.53,1755.38,0
Theta,Y12,32.45,27.91,3344.49,0
Prophet,Y12,3.79,3.88,325.14,0
Last Value,Y13,9.69,9.18,2871.8,0
Mean Value,Y13,31.48,27.16,8407.78,0
Random Walk,Y13,7.47,7.15,2203.27,0
Arima,Y13,20.43,18.46,5734.42,0
Theta,Y13,54.7,42.93,13241.3,0
Prophet,Y13,6.47,6.74,1478.23,0
Last Value,Y14,5.23,5.04,1651.5,0
Mean Value,Y14,24.46,21.73,6965.78,0
Random Walk,Y14,16.51,14.67,4805.69,0
Arima,Y14,11.13,10.39,3381.5,0
Theta,Y14,47.36,38.28,12187.0,0
Prophet,Y14,6.72,6.99,1719.14,0
Last Value,Y15,9.12,8.54,3150.2,0
Mean Value,Y15,36.16,30.51,10877.03,0
Random Walk,Y15,6.19,5.91,1634.22,0
Arima,Y15,9.19,8.61,3174.0,0
Theta,Y15,58.87,45.46,16066.1,0
Prophet,Y15,4.59,4.71,1218.1,0
Last Value,Y16,18.56,16.95,3154.0,0
Mean Value,Y16,27.19,23.9,4441.92,0
Random Walk,Y16,26.76,23.32,4357.62,0
Arima,Y16,22.36,20.05,3733.55,0
Theta,Y16,43.56,35.76,6625.0,0
Prophet,Y16,3.27,3.32,251.64,0
Last Value,Y17,5.65,5.46,1341.3,0
Mean Value,Y17,26.5,23.38,5677.97,0
Random Walk,Y17,12.96,12.0,2931.38,0
Arima,Y17,14.43,13.38,3264.06,0
Theta,Y17,49.75,39.82,9645.6,0
Prophet,Y17,8.11,8.5,1677.99,0
Last Value,Y18,11.18,10.56,2263.6,0
Mean Value,Y18,23.46,20.96,4477.88,0
Random Walk,Y18,9.37,8.84,1909.1,0
Arima,Y18,21.09,18.98,4065.32,0
Theta,Y18,41.13,34.1,7259.2,0
Prophet,Y18,4.13,4.24,506.84,0
Last Value,Y19,19.3,21.58,3152.3,0
Mean Value,Y19,64.48,48.7,7272.35,0
Random Walk,Y19,27.62,32.17,4764.44,0
Arima,Y19,39.97,50.08,7407.54,0
Theta,Y19,64.32,48.35,7146.79,0
Prophet,Y19,19.53,17.77,2646.45,0
Last Value,Y20,11.8,11.06,4902.08,0
Mean Value,Y20,31.67,27.27,11959.59,0
Random Walk,Y20,14.07,12.99,5768.96,0
Arima,Y20,5.5,5.32,1781.42,0
Theta,Y20,37.43,31.44,13670.66,0
Prophet,Y20,10.68,10.11,3936.29,0
Last Value,Y21,8.84,9.9,4504.4,0
Mean Value,Y21,31.86,27.03,14695.28,0
Random Walk,Y21,12.8,14.27,6712.77,0
Arima,Y21,22.52,25.99,13046.84,0
Theta,Y21,40.16,33.11,17227.7,0
Prophet,Y21,8.42,8.53,4285.02,0
Last Value,Y22,15.55,17.06,3836.99,0
Mean Value,Y22,34.58,29.4,6801.04,0
Random Walk,Y22,25.46,29.2,6724.12,0
Arima,Y22,47.68,62.73,14456.74,0
Theta,Y22,40.81,33.74,7692.61,0
Prophet,Y22,3.08,3.01,615.24,0
Last Value,Y23,28.14,32.82,14751.2,0
Mean Value,Y23,7.74,8.11,3611.16,0
Random Walk,Y23,31.08,37.04,16613.61,0
Arima,Y23,29.54,34.74,15618.61,0
Theta,Y23,6.48,6.73,2309.3,0
Prophet,Y23,2.58,2.6,877.21,0
Last Value,Y24,16.08,17.56,8161.21,0
Mean Value,Y24,15.34,14.21,6695.51,0
Random Walk,Y24,20.84,23.36,10910.15,0
Arima,Y24,26.48,30.54,14271.02,0
Theta,Y24,8.03,7.7,2469.31,0
Prophet,Y24,8.63,8.25,3896.57,0
Last Value,Y25,3.22,3.24,461.83,0
Mean Value,Y25,35.07,29.8,4311.04,0
Random Walk,Y25,5.1,5.24,746.63,0
Arima,Y25,18.15,20.31,2917.85,0
Theta,Y25,38.63,32.19,4647.88,0
Prophet,Y25,13.73,12.79,1857.51,0
Last Value,Y26,21.85,24.62,8859.3,0
Mean Value,Y26,24.18,21.53,7837.39,0
Random Walk,Y26,11.9,13.33,4674.62,0
Arima,Y26,47.35,62.32,22667.55,0
Theta,Y26,19.7,17.45,5525.15,0
Prophet,Y26,1.82,1.8,636.76,0
Last Value,Y27,14.36,15.52,1440.0,0
Mean Value,Y27,24.81,22.05,2062.14,0
Random Walk,Y27,12.15,13.06,1208.47,0
Arima,Y27,43.54,56.36,5275.2,0
Theta,Y27,26.46,23.24,2163.97,0
Prophet,Y27,6.31,6.1,459.87,0
Last Value,Y28,19.84,22.06,1898.13,0
Mean Value,Y28,17.02,15.67,1355.93,0
Random Walk,Y28,24.32,27.71,2391.4,0
Arima,Y28,55.05,77.05,6677.39,0
Theta,Y28,19.85,17.95,1542.96,0
Prophet,Y28,1.18,1.18,102.22,0
Last Value,Y29,7.97,8.3,1929.86,0
Mean Value,Y29,6.97,6.73,1566.1,0
Random Walk,Y29,10.61,11.23,2609.35,0
Arima,Y29,27.14,31.75,7375.78,0
Theta,Y29,8.06,7.7,1794.29,0
Prophet,Y29,7.36,7.69,1784.97,0
Last Value,Y30,1.53,1.53,405.92,0
Mean Value,Y30,22.62,20.31,5404.42,0
Random Walk,Y30,1.67,1.66,305.14,0
Arima,Y30,17.97,19.94,5329.27,0
Theta,Y30,37.97,31.91,8476.57,0
Prophet,Y30,3.79,3.88,699.39,0
Last Value,Y31,3.84,3.91,851.39,0
Mean Value,Y31,3.32,3.26,711.75,0
Random Walk,Y31,4.82,4.94,1076.32,0
Arima,Y31,1.26,1.27,269.31,0
Theta,Y31,2.24,2.22,433.21,0
Prophet,Y31,0.73,0.73,120.95,0
Last Value,Y32,6.32,6.53,1983.87,0
Mean Value,Y32,7.51,7.23,2197.98,0
Random Walk,Y32,7.67,7.99,2426.51,0
Arima,Y32,24.17,27.81,8442.47,0
Theta,Y32,12.62,11.86,3604.41,0
Prophet,Y32,8.23,8.63,2619.09,0
Last Value,Y33,5.88,6.06,431.63,0
Mean Value,Y33,8.23,7.9,562.89,0
Random Walk,Y33,2.06,2.09,134.74,0
Arima,Y33,16.53,18.13,1290.0,0
Theta,Y33,21.48,19.38,1379.94,0
Prophet,Y33,8.88,9.33,663.68,0
Last Value,Y34,3.47,3.54,344.37,0
Mean Value,Y34,8.87,8.49,828.44,0
Random Walk,Y34,2.44,2.48,240.73,0
Arima,Y34,15.28,16.6,1620.43,0
Theta,Y34,12.11,11.42,1113.64,0
Prophet,Y34,4.45,4.56,444.93,0
Last Value,Y35,4.94,5.07,975.13,0
Mean Value,Y35,14.78,13.76,2648.94,0
Random Walk,Y35,8.36,8.75,1684.7,0
Arima,Y35,23.89,27.51,5299.24,0
Theta,Y35,22.19,19.92,3832.25,0
Prophet,Y35,6.8,7.08,1363.88,0
Last Value,Y36,5.93,6.12,400.89,0
Mean Value,Y36,4.81,4.7,308.07,0
Random Walk,Y36,6.25,6.45,422.85,0
Arima,Y36,23.24,26.59,1742.14,0
Theta,Y36,6.49,6.28,411.91,0
Prophet,Y36,6.72,6.98,457.07,0
Last Value,Y37,4.75,4.87,1104.14,0
Mean Value,Y37,14.62,13.62,3092.37,0
Random Walk,Y37,4.72,4.85,1102.93,0
Arima,Y37,27.1,31.76,7223.75,0
Theta,Y37,18.45,16.87,3825.18,0
Prophet,Y37,7.81,8.18,1861.58,0
Last Value,Y38,113.15,71.83,26323.0,0
Mean Value,Y38,21.94,24.35,7561.0,0
Random Walk,Y38,83.51,58.58,21332.92,0
Arima,Y38,200.0,141.53,50503.82,0
Theta,Y38,31.39,25.89,10321.0,0
Prophet,Y38,31.9,26.16,10665.86,0
Last Value,Y39,26.81,22.38,7540.0,0
Mean Value,Y39,114.82,72.71,21955.36,0
Random Walk,Y39,23.48,19.95,5670.88,0
Arima,Y39,23.64,20.1,6789.25,0
Theta,Y39,183.04,95.48,28595.0,0
Prophet,Y39,176.54,93.73,28009.35,0
Last Value,Y40,10.31,9.69,3104.0,0
Mean Value,Y40,120.03,75.0,23466.4,0
Random Walk,Y40,8.75,9.25,2242.12,0
Arima,Y40,20.45,18.22,5819.95,0
Theta,Y40,196.33,99.07,30978.2,0
Prophet,Y40,160.56,88.68,27728.37,0
Last Value,Y41,7.57,7.24,6940.2,0
Mean Value,Y41,92.44,63.21,59683.51,0
Random Walk,Y41,7.42,7.36,6912.68,0
Arima,Y41,13.89,12.85,12293.78,0
Theta,Y41,181.69,95.19,89858.7,0
Prophet,Y41,130.49,78.68,74269.04,0
Last Value,Y42,4.84,4.72,1665.5,0
Mean Value,Y42,107.05,69.72,24472.69,0
Random Walk,Y42,15.9,14.39,5090.8,0
Arima,Y42,15.31,16.95,5501.72,0
Theta,Y42,187.2,96.69,33932.3,0
Prophet,Y42,88.09,59.92,21008.75,0
Last Value,Y43,3.73,3.65,647.0,0
Mean Value,Y43,98.93,66.19,11648.65,0
Random Walk,Y43,3.9,3.98,640.95,0
Arima,Y43,9.98,10.66,1598.3,0
Theta,Y43,190.81,97.64,17183.0,0
Prophet,Y43,178.22,94.23,16584.1,0
Last Value,Y44,7.85,7.51,4934.7,0
Mean Value,Y44,81.57,57.93,37640.46,0
Random Walk,Y44,8.27,8.62,5543.78,0
Arima,Y44,1.79,1.77,636.23,0
Theta,Y44,162.1,89.53,58138.5,0
Prophet,Y44,155.48,87.47,56811.82,0
Last Value,Y45,6.86,6.6,4287.2,0
Mean Value,Y45,74.43,54.24,34887.45,0
Random Walk,Y45,21.47,18.57,12135.32,0
Arima,Y45,1.64,1.63,531.94,0
Theta,Y45,156.66,87.85,56474.3,0
Prophet,Y45,150.17,85.76,55144.0,0
Last Value,Y46,4.35,4.25,1640.0,0
Mean Value,Y46,95.42,64.58,24430.12,0
Random Walk,Y46,10.17,10.75,3753.62,0
Arima,Y46,12.18,13.53,4930.18,0
Theta,Y46,173.24,92.83,35085.0,0
Prophet,Y46,162.4,89.62,33867.7,0
Last Value,Y47,4.34,4.25,1640.0,0
Mean Value,Y47,95.4,64.57,24452.47,0
Random Walk,Y47,9.64,10.18,3759.99,0
Arima,Y47,12.29,13.66,4984.91,0
Theta,Y47,173.07,92.78,35104.0,0
Prophet,Y47,162.45,89.63,33908.6,0
Last Value,Y48,16.37,17.92,6140.0,0
Mean Value,Y48,14.94,16.24,5559.26,0
Random Walk,Y48,19.2,21.59,7374.52,0
Arima,Y48,15.45,16.85,5766.66,0
Theta,Y48,62.27,47.45,16450.0,0
Prophet,Y48,44.7,58.02,19932.06,0
Last Value,Y49,1.89,1.91,279.5,0
Mean Value,Y49,43.85,35.96,5287.63,0
Random Walk,Y49,3.05,2.93,391.97,0
Arima,Y49,1.94,1.96,287.27,0
Theta,Y49,141.49,82.85,12180.7,0
Prophet,Y49,73.74,53.77,7906.69,0
Last Value,Y50,1.98,2.0,2166.0,0
Mean Value,Y50,63.79,48.36,52560.07,0
Random Walk,Y50,14.84,13.35,14510.04,0
Arima,Y50,5.04,5.19,5633.44,0
Theta,Y50,144.97,84.04,91329.0,0
Prophet,Y50,91.91,62.77,68240.69,0
Last Value,Y51,3.89,3.97,1861.0,0
Mean Value,Y51,55.37,43.36,20399.15,0
Random Walk,Y51,6.09,5.87,2745.58,0
Arima,Y51,3.83,3.92,1834.75,0
Theta,Y51,130.27,78.87,37100.0,0
Prophet,Y51,75.99,54.87,25833.32,0
Last Value,Y52,32.2,27.02,40589.0,0
